00005855n|Se conoce como juego sexual a los preludios del acto sexual.
00530276n|Lineage II: The Chaotic Throne es un juego de fantasia del tipo MMORPG para PC y una protosecuela de 150 años de Lineage.
00530802n|Operation Flashpoint: Cold War Crisis es un videojuego de disparos en primera persona y tactica, publicado en 2001 y desarrollado por la empresa Bohemia Interactive y distribuida por Codemasters.
00531258n|He-Man: Power of Grayskull es un videojuego de rol de un solo jugador el cual fue lanzado para la consola Game Boy Advance en el año 2002.
00532370n|Ratchet & Clank: Going Commando es un videojuego de accion en tercera persona exclusivo para la consola PlayStation 2.
00532486n|Patapon es un videojuego para PlayStation Portable desarrollado por Pyramid, el mismo estudio que creo LocoRoco.
00532838n|Secret Agent Clank es un videojuego de plataformas en tercera persona para la PSP de Sony, aunque tambien ha sido creado un port para la PlayStation 2.
00532924n|Enchanted es un videojuego de la franquicia Princesas de Disney.
00533316n|Kingdom Hearts Birth by Sleep es un videojuego RPG publicado por Square Enix para la videoconsola Sony PlayStation Portable.
00533319n|\"Kingdom Hearts 358/2 Days\" es un juego de accion desarrollado y publicado por \"Square Enix\" para la consola Nintendo DS.
00533321n|Kingdom Hearts coded es un videojuego de rompecabezas episodico desarrollado y publicado por Square Enix, en colaboracion con Walt Disney Internet Group para telefonos moviles.
00533335n|Bomberman II es un videojuego desarrollado y distribuido por Hudson Soft, y lanzado para el NES.
00533466n|Valkyria Chronicles tambien conocido en Japon como Battlefield Valkyria: Gallian Chronicles,es un videojuego J-RPG tactico desarrollado y publicado por Sega en exclusiva para PS3.
00534301n|Asphalt Urban GT es un videojuego de carreras para la Nintendo DS y la N-Gage.
00534598n|Flower es un videojuego para la PlayStation 3 disponible exclusivamente en PlayStation Store.
00535616n|Metal Slug 7 es un videojuego de tipo run and gun lanzado para la consola portatil Nintendo DS y octavo titulo de la franquicia Metal Slug.
00536238n|Deadly Premonition es un videojuego para las consolas Xbox 360 y PlayStation 3, perteneciente al genero survival horror en mundo abierto.
00536477n|Dudo es un juego de dados popular en Latinoamerica.
00536495n|Skate es un videojuego de skateboarding de EA para Xbox 360 y PlayStation 3.
00536728n|Dead Space es un videojuego de survival horror en tercera persona desarrollado por EA Redwood Shores y distribuido por Electronic Arts.
00536832n|Silent Hill: Orphan es un videojuego de aventura en primera persona desarrollado por Gamefederation y publicado por Konami en 2007 para los telefonos moviles.
00537415n|Kart Fighter es un juego de lucha para uno o dos jugadores en el juego de consola de Nintendo Family Computer.
00539934n|Blue Dragon es un juego de rol para la consola de videojuegos Xbox 360.
00541079n|Banjo-Kazooie: La Venganza de Grunty es un videojuego de aventuras y plataformas desarrollado por Rare y distribuido por THQ para Game Boy Advance.
00542125n|Conker: Live & Reloaded es un videojuego para la consola Xbox de Microsoft.
00543830n|Up'n Down es un videojuego arcade publicado por Sega en 1983.
00546736n|El ajedrez de Tamerlan es un juego de tablero relacionado con el ajedrez y que proviene del shatranj.
00549278n|Jet Thunder: Falklands/Malvinas es un videojuego desarrollado por un grupo de entusiastas de la aviacion militar, con miembros en Argentina, Brasil y UK.
00551709n|Ballistics es un videojuego de carreras futuristas para PC, desarrollado por GRIN y distribuido por Xicat Interactive en 2001.
00552684n|Underwurlde es un videojuego desarrollado por Tim Stamper y Chris Stamper en 1984 para ZX Spectrum, Amstrad CPC y MSX por Ultimate Play The Game, una de las compañias britanicas de software de entretenimiento mas prestigiosas a nivel mundial durante los 80.
00553084n|Klonoa 2: Lunatea's Veil es un videojuego lanzado por Namco en 2001 para PlayStation 2.
00553370n|Conan es un videojuego en tercera persona de accion-aventura/Hack and Slash, basado en el personaje literario Conan el Barbaro.
00554849n|The Revenge of Shinobi es un videojuego de accion para la consola Sega Mega Drive de Sega.
00554871n|Shinobi III: Return of the Ninja Master, o simplemente Shinobi 3, es un videojuego de la serie Shinobi de Sega, para la consola Sega Mega Drive, que fue puesto a la venta en el año 1993.
00555003n|Beyond Zero Tolerance es un videojuego desarrollado por Technopop para la consola Sega Mega Drive/Genesis.
00555192n|Spyro the Dragon es un videojuego de plataformas desarrollado por Insomniac Games para la consola PlayStation.
00555271n|Ratchet & Clank 3, llamado Ratchet & Clank: Up Your Arsenal en Estados Unidos, es un videojuego de ficcion lanzado para la consola PlayStation 2 que relata la tercera aventura del Lombax Ratchet y su compañero robotico Clank.
00555410n|Castlevania: Dawn of Sorrow es un videojuego de accion-aventura que fue desarrollado y publicado por la empresa japonesa Konami el año 2005.
00557355n|Sparkster: Rocket Knight Adventures 2 es un videojuego de plataformas para la videoconsola Sega Mega Drive que fue creado y publicado por Konami a lo largo del año 1994 en los tres diferentes mercados mundiales.
00557726n|X-Men Legends es un videojuego de accion y RPG desarrollado Raven Software y publicado por Activision para las consolas Nintendo GameCube, PlayStation 2 y Xbox a finales 2004, y posteriormente para N-Gage a principios de 2005.
00560933n|Halo 4 es el octavo videojuego de la serie Halo.
00563069n|We  Katamari, pronunciado We Love Katamari, es un videojuego para la consola PlayStation 2 publicado por Namco, que es una secuela del aclamado juego Katamari Damacy, creado por Keita Takahashi.
00563071n|Big Rigs: Over the Road Racing es un videojuego para PC de carreras programado por la empresa Stellar Stone LLC y que salio a la venta en el 2003.
00563158n|Heretic es un juego de fantasia de tiro de primera persona desarrollado por Raven Software, publicado por id Software y distribuido por GT Interactive en 1994.
00563251n|Hexen: Beyond Heretic, o simplemente Hexen para algunas plataformas, es un videojuego de disparos en primera persona desarrollado por Raven Software y publicado por id Software para PC, PlayStation, Sega Saturn y Nintendo 64.
00563359n|Hexen II es un videojuego de disparos en primera persona desarrollado por Raven Software, publicado por id Software y distribuido por Activision.
00564235n|Emlyn Hughes International Soccer es un videojuego de simulacion de futbol cuya primera version fue desarrollada en 1988 por Audiogenic.
00564892n|Turbo Out Run es un videojuego de carreras para un solo jugador de Sega publicado en el año 1989.
00567706n|Vexx es un videojuego creado por Acclaim, para las consolas PlayStation 2, Xbox y GameCube lanzado en 2003.
00569277n|Fire Emblem: Shadow Dragon es el undecimo juego de la saga Fire Emblem, desarrollado por Intelligent Systems y publicado por Nintendo para la consola portatil Nintendo DS.
00569733n|Mario Super Sluggers, conocido en Japon como, es un videojuego de beisbol protagonizado por Mario y compañia, siendo la secuela de Mario Superstar Baseball.
00573187n|MPLE "Los Sims Toman la Calle es un videojuego creado por Maxis y distribuido por Electronic Arts y es el segundo de la saga SIM para videoconsolas.
00573308n|Castlevania: Order of Shadows es un videojuego de la saga Castlevania para telefonos moviles desarrollado por Konami y publicado el 18 de septiembre de 2007.
00573418n|Brutal Legend es un videojuego de accion-aventura y estrategia desarrollado por Double Fine Productions y publicado por Electronic Arts.
00574377n|Syberia es un videojuego creado por Benoit Sokal para PC, enmarcado en el genero de aventura grafica en tercera persona.
00575970n|Redneck Rampage es un videojuego de ordenador de disparos en primera persona desarrollado por Xatrix Entertainment y publicado por Interplay en el año 1997.
00576108n|European Championship 1992 es un videojuego de futbol producido por Tecmo y distribuido por Elite Systems en 1992.
00578031n|Pro Evolution Soccer 2009 o PES 2009 es un videojuego de futbol para PlayStation 2, PlayStation 3, PC, Xbox 360, PlayStation Portable, Nintendo DS y Wii que se lanzo a la venta en el 2008.
00579939n|Mainichi Issho es un juego online de Sony Computer Entertainment, creado el 11 de noviembre de 2006 para la consola PlayStation 3 y PlayStation Portable.
00581479n|Street Fighter IV es un videojuego de lucha producido por Capcom.
00581805n|Golden Axe: Beast Rider es un videojuego de la saga Golden Axe para PlayStation 3 y Xbox 360.
00583497n|El Padrino: el videojuego es un videojuego basado en la pelicula El Padrino del año 1972 y que fue lanzado a la venta en el 2006.
00583619n|Compilation of Final Fantasy VII videojuegos Square Enix cuyo objetivo es completar y ampliar la historia del videojuego Final Fantasy VII, lanzado originalmente para PlayStation en 1997.
00584709n|Combat School es un videojuego desarrollado por Konami para arcades y maquinas 8 bits.
00585368n|Goofy's Hysterical History Tour es un videojuego lanzado en 1993 para la Sega Genesis por Absolute Entertainment.
00585461n|Sega Superstars Tennis es un videojuego desarrollado por Sumo Digital y publicado por Sega, disponible para Wii, Xbox 360, PlayStation 2, PlayStation 3 y Nintendo DS en America y Europa.
00586454n|Dokapon DX es un videojuego del genero de accion desarrollado y distribuido por Asmik Ace Entertainment para las consolas PlayStation 2 y Nintendo GameCube.
00587353n|Corazones es un juego de cartas cuyo objetivo es acabar la partida con el minimo de puntos posibles.
00589350n|Dead Island es un videojuego en un Mundo abierto desarrollado por Techland para Microsoft Windows, Xbox 360 y PlayStation 3.
00590671n|Carmageddon TDR 2000 es un videojuego de coches creado en el año 2000 como secuela de Carmageddon y de Carmageddon II.
00591125n|Dark Void es un videojuego de accion en tercera persona, publicado por Capcom.
00591840n|Myst V: End of Ages es un videojuego de aventura, y la quinta y ultima entrega de la serie Myst.
00593274n|Pelota mixteca es un juego por equipos, normalmente de cinco jugadores cada uno, aunque puede haber mas o menos.
00596438n|Soldat es un juego multijugador 2D para Microsoft Windows, creado por Michal Marcinkowski.
00597145n|Kendo Rage, conocido en Japon como es un videojuego de accion para el Super Nintendo hecho por Datam Polystar.
00601846n|Star Fox: Assault es un videojuego desarrollado por Namco en el 2005 para la videoconsola GameCube, aunque estuvo disponible desde el 1 de Febrero solo para alquiler en las tiendas Blockbuster y Hollywood Video a manera de promocion.
00605205n|Lunar Lander es un videojuego de arcade desarrollado por Atari, Inc. en 1979, el cual utiliza un monitor vectorial para desplegar las graficas de vectores.
00605737n|Laser Squad es un juego clasico de ordenador, originalmente lanzado para ZX Spectrum y posteriormente para Commodore 64, MSX, Amstrad CPC, Amiga, Atari ST y DOS.
00606057n|Thief: The Dark Project es un videojuego de intrusion y sigilo en primera persona publicado por Eidos Interactive.
00607111n|Star Wars: Republic Commando es un videojuego de accion en primera persona ambientado en el universo de Star Wars, desarrollado por Lucas Arts y lanzado en marzo de 2005 para PC y Xbox.
00607256n|El continental es un juego de cartas al que se juega con dos barajas inglesas y en el que hay que hacer diferentes combinaciones, como ocurre en el gin rummy, el remigio, el chinchon o la canasta.
00609433n|Turok 2: Seeds of Evil es un videojuego de accion en primera persona, para Nintendo 64, Windows 9x, y Game Boy Color.
00610029n|SpongeBob SquarePants: Battle for Bikini Bottom es un videojuego basado en la comedia animada de la serie Bob Esponja.
00611366n|Los juegos de edad, tambien denominados age play o ageplay, son practicas consensuadas en las que se interpreta durante un encuentro sexual el papel de dos personas de edades extremadamente diferentes a las reales, como fantasia o como escenario de una relacion de intercambio de poder en el seno de la cultura BDSM.
00611432n|Jeff Wayne's The War of the Worlds es un videojuego basado en el musical homonimo, y que a su vez se basa en la novela de H.G.
00611880n|MPLE "Un videojuego multijugador en linea, comunmente en ingles llamado MOG, es un videojuego multijugador que puede ser jugado mediante un servidor de videojuego a traves de Internet, con jugadores de otras partes del mundo.
00614251n|Honeycomb Beat es un videojuego de puzles desarrollado por Hudson Soft para Nintendo DS.
00615067n|Quantum of Solace es un videojuego de accion en primera y tercera persona desarrollado por Activision y Treyarch para las plataformas de PlayStation 2, PlayStation 3, Wii, Nintendo DS, Xbox 360 y Windows.
00619984n|Jenga World Tour es un videojuego de Wii publicado por Atari, el cual esta basado en el popular juego Jenga.
00623723n|Gazza's Superstar Soccer es un videojuego de futbol disponible para plataformas Amstrad CPC, ZX Spectrum, Commodore Amiga 500/600, Atari ST y Commodore 64.
00625137n|Super Mario Bros. 2 es un videojuego de plataformas desarrollado por Nintendo para la consola Nintendo Entertainment System.
00625517n|Gazza II es un videojuego de futbol desarrollado para sistemas Amstrad CPC, Amstrad GX4000, ZX Spectrum, Amiga 500/600, Atari ST, Commodore 64 y PC.
00625905n|HeroQuest es un juego de rol comercializado por la editorial Issaries, Inc. desde 2003.
00626226n|Sid Meier's Civilization V es un videojuego de estrategia por turnos desarrollado por Firaxis Games y distribuido por 2K Games, y el quinto de la serie Civilization.
00627976n|Polarium es un videojuego de puzzle desarrollado por Mitchell Corporation para Nintendo DS.
00628981n|Stargunner es un videojuego publicado en 1982 por la empresa Telesys para la consola Atari 2600.
00630527n|Heart of Darkness es un videojuego de Amazing Studio, publicado en 1998 por Infogrames e Interplay para Microsoft Windows en PC y PlayStation.
00633054n|Sonic the Hedgehog Pocket Adventure es un videojuego de la saga Sonic para la portatil Neo Geo Pocket Color.
00638938n|Devil May Cry es un videojuego de accion desarrollado por Capcom Production Studio 4 y publicado por Capcom en 2001 en Japon, Estados Unidos y Europa para la consola PlayStation 2.
00641454n|Crossbow es un videojuego arcade lanzado por Exidy en el año 1983.
00643172n|Monster Hunter Freedom Unite, conocido en Japon como Monster Hunter Portable 2nd G, no sera el ultimo videojuego de la serie Monster Hunter, para PlayStation Portable ya que Monster Hunter Portable 3rd salio el mes de Diciembre de 2010 en Japon, sin embargo Capcom No ha confirmado de manera official el juego para America Y Europa.
00644468n|The House of the Dead 2 & 3 Return es un videojuego recopilatorio de The House of the Dead 2 y The House of the Dead 3 publicado para Wii en 2008.
00645345n|J ki: Project Altered Beast, conocido simplemente como Altered Beast en Europa, es un videojuego de accion y aventuras programado por WOW Entertainment y Sega para la consola PlayStation 2.
00645587n|Jak II o Jak II: El Renegado en Europa, es un videojuego de plataformas y ciencia ficcion desarrollado por Naughty Dog.
00645650n|Duke Nukem Forever es un videojuego de disparos en primera persona en tres dimensiones.
00645813n|Terminator Salvation es un videojuego de disparos en tercera persona anunciado el 19 de mayo del 2009 al igual que el de la pelicula del mismo titulo en la misma semana de estreno.
00647400n|Duke Nukem es un videojuego de plataformas desarrollado y publicado por Apogee Software, presentando las aventuras de Duke Nukem.
00647412n|Duke Nukem: Manhattan Project es un videojuego de correr y disparar en desplazamiento lateral de video desarrollado por Sunstorm interactivo, producido por 3D Realms y publicado por Arush Entertaiment Fue lanzado para Microsoft Windows el 14 de mayo de 2002 en America del Norte y el 14 de junio 2002 en Europa.
00647619n|Microprose Soccer es un videojuego de futbol desarrollado por Microprose en 1989 El juego permite disputar partido de futbol 11 y futbol 5.
00648476n|Una pelicula interactiva es un videojuego que cuenta con una presentacion muy cinematografica y un uso intensivo de secuencias de comandos, a menudo mediante el uso de video de movimiento completo de cualquiera de las secuencias de animacion o de accion en vivo.
00649103n|Crysis 2 es un videojuego de disparos en primera persona desarrollado por la empresa Crytek y distribuido por Electronic Arts.
00649105n|Crysis 3 es un videojuego de disparos en primera persona en desarrollo por Crytek y publicado por Electronic Arts para Microsoft Windows, PlayStation 3 y Xbox 360.
00649235n|EarthBound es un videojuego de rol creado en 1994 para la consola SNES de Nintendo.
00649763n|Bomberman 64, conocido en Japon como Baku Bomberman, es un videojuego desarrollado por Hudson Soft y publicado por Nintendo para la Nintendo 64.
00651085n|Castlevania: Curse of Darkness es un videojuego de la serie de Konami Castlevania que fue lanzada el 27 de septiembre de 2005 para PlayStation 2 y Xbox.
00651970n|Jak 3 es un videojuego de plataformas de accion-aventura desarrollado por Naughty Dog y distribuido por Sony Computer Entertainment.
00652096n|Devil May Cry 3: Dante's Awakening es un videojuego perteneciente a la serie de videojuegos de Devil May Cry.
00652132n|Rally X es un videojuego de laberintos lanzado en 1980 por la empresa japonesa Namco.
00652666n|Earthbound 64, conocido en Japon como Mother 3: Fall of the Pig King, y normalmente referido como EarthBound 2, es un videojuego de RPG que en ultima instancia fue cancelado, estaba en desarrollo por Ape Inc y HAL Laboratory para ser distribuido por Nintendo en la Nintendo 64DD.
00652674n|Mother 3 es un videojuego del genero RPG para Game Boy Advance, desarrollado por HAL Laboratory y Brownie Brown, y publicado por Nintendo.
00652903n|Agricola es un juego de mesa creado por Uwe Rosenberg en 2007 y editado en España por Homoludicus.
00653362n|El ahorcado es un juego de lapiz y papel, en el que el objetivo es adivinar una palabra o frase.
00653362n|Juego de adivinanza en donde alguien debe adivinar la palabra a la cual ha pensado su adversario, encontrando las letras una por una, e incluyendo un dibujo progresivo de un hombre ahorcado.
00654886n|Monster Hunter 2 es un videojuego para PlayStation 2 realizado por Capcom, y es la secuela de Monster Hunter y Monster Hunter G.
00655406n|Stunt Race FX es un videojuego en 3D de carreras con un estilo de dibujos animados, producido y publicado por Nintendo para la Super Nintendo.
00655793n|La Leyenda de los Cinco Anillos es un juego de cartas coleccionables creado por Alderac Entertainment Group en 1995.
00659684n|Ciudadelas es un juego de cartas para 2-7 jugadores.
00660438n|La soule era un juego de pelota que se practicaba a traves de los prados, los bosques, landas y hasta las villas o estanques.
00661499n|Hoihoi-san es un videojuego de PlayStation 2, un manga y un OVA de 10 minutos.
00661531n|Dance Dance Revolution 4thMIX es el cuarto videojuego de la serie Dance Dance Revolution publicado por Konami el 24 de agosto de 2000.
00662707n|007: From Russia with Love es un videojuego protagonizado por James Bond y que pertenece a esa saga de novelas y peliculas, esta desarrollado por la compañia EA Games basado en la novela homonima de Ian Fleming de 1957 y en la pelicula desarrollada por EON Productions en 1963.
00664323n|Venomous Concept es una banda de hardcore punk el nombre es un juego con Poison Idea, tambien es un acto de tortura japones.
00665959n|Dance Dance Revolution 3rdMIX es el tercer videojuego de la serie Dance Dance Revolution, publicada por Konami el 30 de octubre de 1999.
00667287n|Dance Dance Revolution 2nd mix es el segundo videojuego de la serie Dance Dance Revolution, publicada por Konami el 19 de enero de 1999.
00674293n|Los videjuegos de simulacion de vehiculos son aquellos videojuegos que permiten al jugador operar una variedad de vehiculos de forma realista.
00674359n|Breath of Fire III es un videojuego de rol desarrollado por Capcom para la consola PlayStation.
00674477n|7 Mar es un juego de rol de piratas y mosqueteros, nobleza y brujeria, diplomacia e intriga, arqueologia y exploracion.
00674606n|Tokimeki Memorial es un videojuego de simulacion de citas creado por Konami.
00674617n|Tokimeki Memorial 3 es un videojuego de simulacion de citas desarrollado y publicado por Konami.
00674645n|Tokimeki Memorial Girl's Side 2nd Kiss es un videojuego de simulacion de citas publicado por Konami para la videoconsola PlayStation 2 el 3 de agosto de 2006.
00675875n|Battle City es un videojuego de tanques producido y publicado por Namco como una adaptacion del clasico arcade Tank Battalion.
00675889n|Legacy of Kain: Soul Reaver es un videojuego de accion-aventura desarrollado por Crystal Dynamics y publicado por Eidos Interactive.
00678282n|Gran Turismo 4 es un videojuego de la PlayStation 2.
00679440n|Spelunker es un videojuego desarrollado en 1983 por Tim Martin y MicroGraphicImage.
00680442n|My Hero es un videojuego arcade del genero beat 'em up lanzado en 1985 por Sega y Coreland y portado en 1986 a la Sega Mark III / Sega Master System.
00681071n|El Señor de los Anillos online: sombras de Angmar es un videojuego de rol multijugador masivo en linea para Microsoft Windows que permite jugar en un universo de fantasia basado en la obra de J.
00681347n|Chronicles of Spellborn es un videojuego de computadora lanzado en noviembre del 2008 en Reino Unido, unicamente tambien salio a la venta el 23 de abril del 2009 en Estados Unidos.
00683176n|Castlevania, conocido tambien como Castlevania 64, es un videojuego de 1999 publicado para Nintendo 64.
00683336n|Castlevania Legacy of Darkness es un videojuego desarrollado y publicado por Konami para Nintendo 64.
00683516n|Castlevania: The Adventure es un videojuego de la saga de Castlevania, producida y distribuida por Konami, fue lanzado el 27 de octubre de 1989 en Japon para la videoconsola Game Boy.
00683838n|Tomb Raider: Underworld es el octavo videojuego de la serie Tomb Raider, lanzado en noviembre de 2008, y el tercero desarrollado por Crystal Dynamics.
00685249n|Medal of Honor: Allied Assault es un videojuego de disparos en primera persona para PC desarrollado por la empresa 2015, Inc. y creado por Steven Spielberg.
00685344n|Super Castlevania IV es un videojuego de accion-aventura de la serie de Castlevania de Konami para Super Nintendo, fue lanzado a la venta en 1991 en Japon, y en 1992 en Norteamerica y Europa.
00686543n|Esper Dream es un videojuego de accion y RPG de Family Disk Computer y fue publicado por Konami en 20 de Febrero de 1987.
00690747n|Haunted Castle es un videojuego para salones recreativos, lanzado al mercado en 1988 por la empresa Konami Corporation.
00691250n|Castlevania: The New Generation es un videojuego de la franquicia Castlevania, desarrollado por Konami y publicado el 18 de marzo de 1994 para la consola Sega Mega Drive.
00696656n|Super Match Soccer es un videojuego de futbol publicado por Acclaim y desarrollado en 1998 por Jon Ritman en su empresa Cranberry Source.
00701030n|Los videojuegos de estrategia son videojuegos que requieren que el jugador ponga en practica sus habilidades de planeamiento y pensamiento para conseguir la victoria.
00701291n|Castlevania Chronicles es un videojuego producido por Konami para la Sharp X68000.
00702597n|Warzone 2100 es un juego para computador hibrido de estrategia en tiempo real y tacticas en tiempo real, desarrollado por Pumpkin Studios y publicado por Eidos Interactive.
00704332n|The Wheelman es un videojuego publicado por Ubisoft y Midway Games y esta disponible para las plataformas PS3, XBox 360 y PC.
00705006n|El juego L es un juego abstracto para dos jugadores creado por Edward de Bono en 1972.
00706168n|Another Code: Two Memories titulado Trace Memory en America, es un videojuego de aventura grafica desarrollado por Cing y publicado por Nintendo para Nintendo DS.
00709580n|Bomberman Hero es un videojuego de accion y la continuacion de Bomberman 64 para la consola Nintendo 64 Bomberman Hero en comparacion con su antecesor esta mas desarrollado en lo que a jugabilidad se refiere, asi como tiene mas niveles, enemigos, armas, y movimientos como personaje, sin embargo, carece de modo multijugador y es por tanto un juego centrado en un solo jugador.
00709807n|Turrican es un videojuego arcade de plataformas creado originalmente por Manfred Trenz para el ordenador Commodore 64, que posteriormente conto con una espectacular version para Amiga 500, que fue acompañada por la musica del genial compositor aleman Chris Hulsbeck y que acompañaria a la saga hasta su ultima entrega a finales de los 90.
00710581n|El tute es el juego de naipes mas arraigado en España, seguido muy de cerca por el mus.
00710802n|Age of Empires III es un videojuego de estrategia en tiempo real para computadoras personales, desarrollado por Ensemble Studios y publicado por Microsoft Games para los sistemas operativos Windows y Mac.
00711035n|Super Mario Sunshine es un videojuego de plataformas desarrollado por Nintendo Entertainment Analysis and Development y publicado por Nintendo para la consola Nintendo GameCube.
00711046n|Mario Party es un videojuego para la consola Nintendo 64, tambien disponible para sus sucesoras Game Boy Advance, GameCube, Nintendo DS y Wii con garantias de perdurar en el futuro de sus creadores, Nintendo.
00715989n|Vampiro: la mascarada es un juego de rol ambientado en el llamado Mundo de Tinieblas.
00716772n|Las siete y media es un juego de naipes que utiliza la baraja española de 40 naipes.
00716800n|Virtua Tennis 2 es un videojuego de simulacion de tenis creado por la compañia interna Hitmaker de Sega en el año 2001 para la placa de maquinas recreativas NAOMI, para Dreamcast y PlayStation 2.
00717502n|One Piece: Unlimited Cruise es un videojuego para la consola Nintendo Wii basada en el popular manganime One Piece.
00717530n|Yoshi Touch & Go es un videojuego para Nintendo DS que pertenece a la saga Yoshi de Nintendo.
00717598n|Star Wars: Empire at War es un videojuego de estrategia en tiempo real lanzado en febrero de 2006.
00717812n|Suikoden II es un videojuego de rol desarrollado y publicado por Konami para la videoconsola PlayStation que es la segunda entrega de la serie de videojuegos Suikoden.
00717870n|Just Cause 2 es un videojuego de accion desarrollado por la empresa sueca Avalanche Studios y publicado por Eidos Interactive y Square Enix.
00720287n|Las manitas calientes o manos calientes es un juego de manos, donde dos jugadores hacen uso de los reflejos y de la velocidad en el movimiento de las manos y brazos.
00723363n|Rayman es un videojuego diseñado y publicado por Ubisoft.
00723554n|Rayman 3: Hoodlum Havoc es un videojuego diseñado y publicado por Ubisoft para PlayStation 2, GameCube, Xbox, N-Gage, PC, Apple Macintosh, Telefono Movil y GBA.
00726141n|OpenCity es un videojuego de construccion de ciudades libre.
00730599n|Dungeon Crawl Stone Soup, tambien abreviado como Dungeon Crawl, es un juego de codigo abierto de estilo roguelike, actualmente es desarrollado activamente por el equipo de desarrollo, que es el actual sucesor de el juego Linley's Dungeon Crawl, que aparecio en 1997, programado originalmente por Linley Henzell.
00730870n|Star Wars: Bounty Hunter es un videojuego de la saga de Star Wars, basado en el personaje de Jango Fett, un cazarrecompensas el cual hace su primera aparicion en el episodio II: El ataque de los clones.
00731927n|Pokemon Ranger: Shadows of Almia es un videojuego de rol de accion desarrollado por HAL Laboratory y distribuido por Nintendo para Nintendo DS.
00732070n|Requiem: Memento Mori es un videojuego MMORPG 3D de horror desarrollado por Gravity, dirigido a publicos maduros debido a sus dosis de sangre y descuartizamientos, este juego te introduce en un mundo oscuro, sangriento y devastado debido a generaciones de abuso de la ciencia y la magia, en donde habra que luchar por sobrevivir a horribles criaturas creadas por mutaciones geneticas, modificacion genetica, magia o todas las anteriores.
00733007n|Assassin's Creed: Altair's Chronicles es un videojuego desarrollado por Gameloft y distribuido por Ubisoft para Nintendo DS, iPhone, android y el iPod Touch.
00733929n|Burnout Paradise es el videojuego mas reciente de la serie Burnout.
00735841n|Cyberpunk 2020 es un juego de rol creado por Mike Pondsmith en 1988 y ambientado en un universo cyberpunk.
00736359n|Lemmings 2: The Tribes es un juego de ordenador lanzado en 1993, como la primera secuela real al popular juego de logica Lemmings.
00736868n|Night Slave es un videojuego eroge y rol de accion japones para la computadora NEC PC-9801, fue desarrollado y distribuido por Melody y lanzado en 1996.
00736869n|BioShock es un videojuego de disparos en primera persona, desarrollado por Irrational Games, publicado el 21 de agosto de 2007 en Norteamerica para el sistema operativo Windows y la consola Xbox 360, tres dias despues en Europa y Australia, y el 31 de agosto en España.
00739439n|Lumines es un videojuego creado por el diseñador de juegos Tetsuya Mizuguchi.
00740062n|El juego de comodines de la AFC de 1993 de la NFL entre los Bills de Buffalo y los Petroleros de Houston es uno de los juegos mas memorables en la historia de la NFL.
00740360n|Star Wars Rogue Squadron III: Rebel Strike, tercera parte de la saga Rogue Squadron, es un videojuego exclusivo de Nintendo GameCube, el ultimo desarrollado por el estudio Factor 5 como second party de Nintendo.
00740728n|Cyberstorm 2: Corporate Wars es un videojuego de estrategia desarrollado por Dynamix y lanzado en 1998 como secuela de MissionForce: CyberStorm.
00742367n|Pikmin 3 es un videojuego de estrategia en tiempo real desarrollado por Nintendo y creado principalmente por Shigeru Miyamoto.
00744274n|Dance Dance Revolution EXTREME es el octavo juego de la serie de video juegos musicales Dance Dance Revolution.
00748252n|Wizards & Warriors es un videojuego de consola desarrollado por la compañia Rare.Ltd para el NES y lanzado en 1987 por la compañia Acclaim en los Estados Unidos, seguido por su lanzamiento en Japon y Europa en los años 1988 y 1990, respectivamente.
00748997n|The Flintstones: The Rescue of Dino & Hoppy es un videojuego lanzado en 1991 por la compañia Taito para el sistema de entretenimiento NES.
00749040n|The Getaway: Black Monday es el segundo videojuego de disparos en tercera persona de la serie The Getaway sacado al mercado el 17 de noviembre de 2004.
00749304n|Chocobo Racing es un videojuego del genero de carreras para la videoconsola PlayStation, creado por la compañia de software japonesa Squaresoft, creadores de la aclamada saga Final Fantasy, lanzado en 1999 La forma del juego es similar a la impuesta por Mario Kart, segun se avanza se corre en diferentes niveles y contra diferentes rivales, usando habilidades propias del personaje o magias repartidas por el escenario.
00749539n|Hard Truck 2: King of the Road traducido en español Rey de la Carretera es un videojuego donde el jugador se convierte en un camionero y conduce vehiculos de carga.
00750250n|Dance Dance Revolution 5thMIX es el quinto videojuego de la serie Dance Dance Revolution publicada por Konami el 27 de marzo de 2001.
00750325n|Armored Core: For Answer es un videojuego para la PlayStation 3 y Xbox 360.
00752635n|Donkey Kong Country es un videojuego desarrollado por la compañia Rare y Nintendo, que incluye la descendencia del popular personaje de videojuegos, Donkey Kong.
00752833n|Donkey Kong Land es un videojuego de plataformas desarrollado por Rareware para Game Boy y lanzado en 1995.
00752841n|Battlefield Heroes es un videojuego de accion con graficos con caracteristicas de dibujos animados, desarrollado por EA Digital Illusions CE y lanzado el 25 de junio de 2009.
00752843n|Donkey Kong 64 es un videojuego desarrollado por Rare y distribuido por Nintendo para la consola Nintendo 64 en 1999.
00752978n|Mario Party 3 es el tercer juego dentro de la saga Mario Party y el ultimo de la saga que salio para Nintendo 64.
00753070n|Super Mario Land es un videojuego de plataformas desarrollado y distribuido por Nintendo para Game Boy, llegando al mercado el 21 de abril de 1989 en Japon, el 1 de agosto de 1989 en America y el 28 de septiembre de 1990 en Europa.
00753086n|Mario Party 2 es el segundo juego de la saga Mario Party para el Nintendo 64.
